,Logistic classify L2,MIC,Corr.,RF,Stability,Logistic classify L1,RFE,Mean
dist_18,0.02,0.18,0,0.04,0.2,0.2,0.9,0.22
dist_180,0.01,0.19,0.01,0.02,0,0,0.64,0.12
dist_181,0.01,0.2,0.02,0.03,0,0,0.82,0.15
dist_182,0,0.19,0,0.02,0,0,0.67,0.13
dist_183,0.01,0.19,0,0.01,0,0,0.57,0.11
dist_184,0.01,0.21,0,0.02,0,0,0.64,0.13
dist_185,0,0.19,0.01,0.01,0,0,0.59,0.11
dist_186,0.01,0.19,0,0.01,0,0,0.61,0.12
dist_187,0.01,0.2,0,0.02,0,0,0.66,0.13
dist_188,0.01,0.2,0,0.03,0,0,0.57,0.12
dist_189,0.02,0.17,0.08,0.05,0.08,0.23,0.66,0.18
dist_19,0.01,0.18,0.01,0.04,0,0,0.83,0.15
dist_190,0.01,0.16,0.01,0.03,0.05,0.07,0.65,0.14
dist_191,0.01,0.18,0,0.02,0,0,0.58,0.11
dist_192,0.13,0.46,0.11,0.07,0.12,0.21,0.98,0.3
dist_193,0.01,0.35,0.03,0.05,0.02,0.03,0.88,0.2
dist_194,0.05,0.24,0,0.1,0.01,0.03,0.88,0.19
dist_195,0.01,0.18,0,0.02,0,0,0.61,0.12
dist_196,0.01,0.18,0.01,0.01,0,0.04,0.63,0.13
dist_197,0.01,0.16,0.01,0.02,0.08,0.06,0.65,0.14
dist_198,0.01,0.17,0.01,0.02,0.03,0.01,0.6,0.12
dist_199,0.01,0.18,0.02,0.02,0,0.08,0.67,0.14
dist_2,0.15,1,0,0.67,0.26,0.27,1,0.48
dist_20,0.01,0.22,0,0.03,0,0,0.78,0.15
dist_200,0.01,0.18,0.01,0.02,0.02,0.01,0.59,0.12
dist_201,0.01,0.17,0,0.02,0,0,0.59,0.11
dist_202,0.01,0.18,0,0.02,0,0.01,0.71,0.13
dist_203,0.01,0.18,0,0.02,0,0,0.64,0.12
dist_204,0.01,0.16,0.03,0.02,0,0,0.76,0.14
dist_205,0.01,0.2,0.01,0.01,0,0,0.6,0.12
dist_206,0.01,0.17,0,0.04,0,0,0.86,0.15
dist_207,0.01,0.2,0,0.02,0,0,0.61,0.12
dist_208,0.01,0.16,0.03,0.04,0,0,0.67,0.13
dist_209,0.01,0.19,0,0.02,0,0,0.66,0.13
dist_21,0.07,0.23,0.01,0.07,0.23,0.24,0.83,0.24
dist_210,0.01,0.17,0,0.04,0,0,0.69,0.13
dist_211,0.01,0.18,0,0.02,0,0,0.57,0.11
dist_212,0.01,0.18,0,0.02,0,0,0.7,0.13
dist_213,0.01,0.19,0,0.01,0,0,0.61,0.12
dist_214,0.01,0.17,0,0.02,0,0,0.66,0.12
dist_215,0.01,0.19,0,0.02,0,0,0.68,0.13
dist_216,0.04,0.36,0,0.08,0.03,0.03,0.91,0.21
dist_217,0.01,0.19,0.01,0.02,0,0,0.62,0.12
dist_218,0.01,0.19,0.02,0.02,0,0,0.59,0.12
dist_219,0.02,0.19,0.15,0.06,0.02,0,0.86,0.19
dist_22,0.01,0.18,0,0.03,0,0,0.84,0.15
dist_220,0.01,0.16,0,0.02,0,0,0.57,0.11
dist_221,0.01,0.16,0.01,0.02,0,0,0.63,0.12
dist_222,0.01,0.19,0.02,0.01,0,0,0.62,0.12
dist_223,0.01,0.18,0.02,0.02,0,0,0.62,0.12
dist_224,0.01,0.17,0.02,0.02,0,0,0.64,0.12
dist_225,0.01,0.18,0.03,0.01,0,0,0.71,0.13
dist_226,0.05,0.17,0,0.03,0,0,0.86,0.16
dist_227,0.01,0.16,0,0.01,0,0,0.63,0.12
dist_228,0.03,0.2,0.23,0.03,0,0.07,0.83,0.2
dist_229,0.01,0.21,0.08,0.02,0,0,0.75,0.15
dist_23,0.03,0.16,0,0.05,0.05,0.06,0.95,0.19
dist_230,0.01,0.18,0,0.02,0,0,0.66,0.12
dist_231,0.01,0.19,0.01,0.02,0,0,0.67,0.13
dist_232,0.01,0.19,0.01,0.01,0,0,0.57,0.11
dist_233,0.01,0.2,0.02,0.01,0,0,0.67,0.13
dist_234,0.01,0.18,0.01,0.02,0,0,0.65,0.12
dist_235,0.01,0.2,0.04,0.01,0,0,0.65,0.13
dist_236,0.01,0.2,0.01,0.02,0,0,0.69,0.13
dist_237,0.01,0.19,0.01,0.02,0,0,0.58,0.12
dist_238,0.01,0.17,0.04,0.04,0,0,0.84,0.16
dist_239,0.03,0.41,0.02,0.08,0.08,0.09,0.95,0.24
dist_24,0.02,0.16,0,0.04,0,0,0.82,0.15
dist_240,0.01,0.19,0.02,0.04,0,0,0.69,0.14
dist_241,0.01,0.21,0.01,0.02,0,0,0.7,0.14
dist_242,0.01,0.16,0,0.02,0,0,0.62,0.12
dist_243,0.01,0.18,0,0.03,0,0,0.7,0.13
dist_244,0.01,0.18,0,0.03,0,0,0.78,0.14
dist_245,0.01,0.18,0,0.02,0,0,0.7,0.13
dist_246,0.01,0.16,0,0.06,0,0.02,0.84,0.16
dist_247,0.01,0.19,0,0.04,0,0,0.91,0.16
dist_248,0.01,0.23,0,0.03,0,0,0.79,0.15
dist_249,0.01,0.17,0,0.02,0,0,0.65,0.12
dist_25,0.01,0.2,0.02,0.02,0,0,0.77,0.15
dist_250,0.01,0.18,0.06,0.02,0.1,0.11,0.76,0.18
dist_251,0.01,0.16,0.02,0.02,0,0,0.6,0.12
dist_252,0.01,0.14,0,0.02,0,0,0.71,0.13
dist_253,0.01,0.16,0,0.02,0,0,0.64,0.12
dist_254,0.01,0.16,0.02,0.04,0.12,0.15,0.8,0.19
dist_255,0.02,0.16,0.01,0.02,0,0,0.76,0.14
dist_26,0.02,0.22,0.11,0.03,0,0.03,0.89,0.19
dist_27,0.02,0.17,0.04,0.05,0.05,0.02,0.92,0.18
dist_28,0.05,0.31,0.06,0.23,0.54,0.51,0.88,0.37
dist_29,0.02,0.2,0,0.03,0,0.11,0.79,0.16
dist_3,0.1,0.84,0.29,1,1,0.84,1,0.72
dist_30,0.01,0.22,0.04,0.02,0,0,0.78,0.15
dist_31,0.01,0.18,0,0.02,0,0,0.61,0.12
dist_32,0.04,0.39,0.04,0.07,0.04,0.04,0.9,0.22
dist_33,0.02,0.17,0.02,0.02,0,0,0.8,0.15
dist_34,0.01,0.35,0.01,0.07,0,0,0.87,0.19
dist_35,0.01,0.18,0,0.04,0,0,0.74,0.14
dist_36,0.01,0.35,0.01,0.04,0,0,0.89,0.19
dist_37,0.01,0.24,0.01,0.03,0,0,0.63,0.13
dist_38,0.01,0.35,0,0.05,0,0,0.87,0.18
dist_39,0.01,0.19,0,0.02,0,0,0.74,0.14
dist_4,0.11,0.61,0.03,0.25,0.31,1,0.98,0.47
dist_40,0.01,0.22,0.01,0.02,0,0,0.83,0.16
dist_41,0.01,0.25,0.01,0.02,0,0,0.81,0.16
dist_42,0.02,0.31,0,0.03,0,0,0.74,0.16
dist_43,0.01,0.28,0.01,0.02,0,0,0.8,0.16
dist_44,0.02,0.3,0.02,0.12,0,0,0.85,0.19
dist_45,0.12,0.27,0.02,0.05,0.03,0.1,0.9,0.21
dist_46,0.03,0.24,0,0.04,0,0,0.83,0.16
dist_47,0.03,0.29,0.03,0.04,0,0,0.77,0.17
dist_48,0.07,0.29,0.04,0.11,0,0.19,0.93,0.23
dist_49,0.07,0.45,0.17,0.1,0.05,0.07,0.94,0.26
dist_5,0.04,0.58,0.01,0.15,0.09,0.11,0.97,0.28
